Period,Interaction,Signals,Successful rate
1,1235.0,1570.0,100.0
2,1237.0,1506.0,100.0
3,1216.0,1415.0,100.0
4,1215.0,1390.0,100.0
5,1209.0,1368.0,100.0
6,1207.0,1350.0,100.0
7,1213.0,1363.0,100.0
8,1227.0,1399.0,100.0
9,1204.0,1323.0,100.0
10,1203.0,1314.0,100.0
11,1203.0,1314.0,100.0
12,1202.0,1305.0,100.0
13,1202.0,1305.0,100.0
14,1201.0,1296.0,100.0
15,1202.0,1297.0,100.0
16,1202.0,1297.0,100.0
17,1200.0,1287.0,100.0
18,1201.0,1288.0,100.0
19,1200.0,1287.0,100.0
20,1200.0,1287.0,100.0
21,1199.0,1278.0,100.0
22,1199.0,1278.0,100.0
23,1199.0,1278.0,100.0
24,1199.0,1278.0,100.0
25,1199.0,1278.0,100.0
26,1198.0,1269.0,100.0
27,1198.0,1269.0,100.0
28,1198.0,1269.0,100.0
29,1207.0,1293.0,100.0
30,1205.0,1291.0,100.0
31,1204.0,1290.0,100.0
32,1220.0,1336.0,100.0
33,1197.0,1260.0,100.0
34,1197.0,1260.0,100.0
35,1197.0,1260.0,100.0
36,1197.0,1260.0,100.0
37,1197.0,1260.0,100.0
38,1197.0,1260.0,100.0
39,1197.0,1260.0,100.0
40,1197.0,1260.0,100.0
41,1197.0,1260.0,100.0
42,1197.0,1260.0,100.0
43,1195.0,1250.0,100.0
44,1195.0,1250.0,100.0
45,1195.0,1250.0,100.0
46,1195.0,1250.0,100.0
47,1195.0,1250.0,100.0
48,1195.0,1250.0,100.0
49,1195.0,1250.0,100.0
50,1195.0,1250.0,100.0
51,1195.0,1250.0,100.0
52,1195.0,1250.0,100.0
53,1195.0,1250.0,100.0
54,1195.0,1250.0,100.0
55,1195.0,1250.0,100.0
56,1195.0,1250.0,100.0
57,1195.0,1250.0,100.0
58,1195.0,1250.0,100.0
59,1195.0,1250.0,100.0
60,1195.0,1250.0,100.0
61,1195.0,1250.0,100.0
62,1195.0,1250.0,100.0
63,1193.0,1240.0,100.0
64,1193.0,1240.0,100.0
65,1193.0,1240.0,100.0
66,1193.0,1240.0,100.0
67,1193.0,1240.0,100.0
68,1193.0,1240.0,100.0
69,1193.0,1240.0,100.0
70,1193.0,1240.0,100.0
71,1193.0,1240.0,100.0
72,1193.0,1240.0,100.0
73,1193.0,1240.0,100.0
74,1193.0,1240.0,100.0
75,1193.0,1240.0,100.0
76,1193.0,1240.0,100.0
77,1193.0,1240.0,100.0
78,1193.0,1240.0,100.0
79,1193.0,1240.0,100.0
80,1193.0,1240.0,100.0
81,1193.0,1240.0,100.0
82,1193.0,1240.0,100.0
83,1193.0,1240.0,100.0
84,1193.0,1240.0,100.0
85,1193.0,1240.0,100.0
86,1193.0,1240.0,100.0
87,1193.0,1240.0,100.0
88,1193.0,1240.0,100.0
89,1193.0,1240.0,100.0
90,1193.0,1240.0,100.0
91,1193.0,1240.0,100.0
92,1193.0,1240.0,100.0
93,1193.0,1240.0,100.0
94,1193.0,1240.0,100.0
95,1193.0,1240.0,100.0
96,1193.0,1240.0,100.0
97,1193.0,1240.0,100.0
98,1193.0,1240.0,100.0
99,1193.0,1240.0,100.0
100,1191.0,1230.0,100.0
101,1191.0,1230.0,100.0
102,1191.0,1230.0,100.0
103,1191.0,1230.0,100.0
104,1191.0,1230.0,100.0
105,1191.0,1230.0,100.0
106,1191.0,1230.0,100.0
107,1191.0,1230.0,100.0
108,1191.0,1230.0,100.0
109,1191.0,1230.0,100.0
110,4681.0,11481.0,68.197279
111,4316.0,10375.0,68.197279
112,4596.0,11140.0,68.197279
113,5687.0,14217.0,68.197279
114,5312.0,13151.0,68.197279
115,4872.0,11885.0,68.197279
116,4502.0,10832.0,68.197279
117,4244.0,10086.0,68.197279
118,6588.0,16742.0,68.197279
119,6398.0,16199.0,68.197279
120,6227.0,15713.0,68.197279
121,6160.0,15518.0,68.197279
122,5989.0,15032.0,68.197279
123,5892.0,14747.0,68.197279
124,5836.0,14586.0,68.197279
125,5722.0,14262.0,68.197279
126,5738.0,14300.0,68.197279
127,5607.0,13929.0,68.197279
128,5492.0,13604.0,68.197279
129,5378.0,13280.0,68.197279
130,5293.0,13037.0,68.197279
131,5179.0,12713.0,68.197279
132,5065.0,12389.0,68.197279
133,4951.0,12065.0,68.197279
134,4780.0,11579.0,68.197279
135,4776.0,11552.0,68.197279
136,4662.0,11228.0,68.197279
137,4548.0,10904.0,68.197279
138,4492.0,10743.0,68.197279
139,4435.0,10581.0,68.197279
140,4319.0,10255.0,68.197279
141,4237.0,10023.0,68.197279
142,10597.0,28090.0,67.942177
143,10597.0,28090.0,67.942177
144,10597.0,28090.0,67.942177
145,10597.0,28090.0,67.942177
146,10597.0,28090.0,67.942177
147,10597.0,28090.0,67.942177
148,10597.0,28090.0,67.942177
149,10597.0,28090.0,67.942177
150,10597.0,28090.0,67.942177
151,10597.0,28090.0,67.942177
152,10604.0,28104.0,67.942177
153,10604.0,28104.0,67.942177
154,10604.0,28104.0,67.942177
155,10604.0,28104.0,67.942177
156,10604.0,28104.0,67.942177
157,10604.0,28104.0,67.942177
158,10604.0,28104.0,67.942177
159,10604.0,28104.0,67.942177
160,10604.0,28104.0,67.942177
161,10604.0,28104.0,67.942177
162,10604.0,28104.0,67.942177
163,10604.0,28104.0,67.942177
164,10604.0,28104.0,67.942177
165,10604.0,28104.0,67.942177
166,10604.0,28104.0,67.942177
167,10604.0,28104.0,67.942177
